sample,host,viruses,count_viruses
102906-001-010,unknown,['Tomato blistering mosaic tymovirus'],1
102906-001-011,unknown,['Red clover bacilliform virus'],1
102906-001-012,unknown,"['Tomato blistering mosaic tymovirus', 'Bell pepper mottle virus']",2
102906-001-013,unknown,['European mountain ash ringspot-associated emaravirus'],1
102906-001-014,unknown,['Bell pepper mottle virus'],1
102906-001-017,capsicum annuum,"['Pepper enamovirus', 'Bell pepper alphaendornavirus']",2
102906-001-018,unknown,['Dioscorea bacilliform virus'],1
102906-001-019,unknown,['Dioscorea bacilliform virus'],1
102906-001-020,unknown,['Dioscorea bacilliform virus'],1
102906-001-021,unknown,['Cassava vein mosaic virus'],1
103165-001-002,solanum tuberosum,"['Cassava Torrado-like virus', 'Potato virus A']",2
103165-001-004,solanum tuberosum,"['Tobacco vein clearing virus', 'Potato virus V', 'Red clover nepovirus A', 'Potato virus A']",4
103165-001-005,cichorium intybus,"['Naranjilla mild mosaic virus', 'Pepper mild mottle virus', 'Tomato necrotic spot virus']",3
103165-001-006,solanum tuberosum,"['Red clover nepovirus A', 'Grapevine chrome mosaic virus', 'Tomato black ring virus', 'Potato virus X', 'Beet ringspot virus', 'Potato virus A', 'Potato virus V']",7
103165-001-007,solanum macrocarpon,"['Naranjilla mild mosaic virus', 'Grapevine Red Globe virus', 'Eggplant mosaic virus', 'Naranjilla chlorotic mosaic virus']",4
103165-001-008,solanum tuberosum,"['Potato virus V', 'Fragaria chiloensis latent virus', 'Tomato black ring virus', 'Red clover bacilliform virus']",4
103165-001-009,phaseolus vulgaris,['Tomato necrotic spot virus'],1
103165-001-011,solanum tuberosum,"['Red clover nepovirus A', 'Grapevine chrome mosaic virus', 'Beet ringspot virus', 'Potato virus A', 'Potato virus V']",5
103165-001-012,phaseolus vulgaris,['Tomato necrotic spot virus'],1
103165-001-013,solanum tuberosum,"['Pepper mild mottle virus', 'Tomato black ring virus', 'Red clover bacilliform virus']",3
103165-001-014,unknown,['Pepper mild mottle virus'],1
103165-001-015,solanum tuberosum,"['Grapevine Red Globe virus', 'Eggplant mosaic virus', 'Potato virus A', 'Potato virus V', 'Naranjilla chlorotic mosaic virus']",5
103165-001-017,solanum tuberosum,"['Tomato necrotic spot virus', 'Grapevine chrome mosaic virus', 'Tomato black ring virus', 'Potato virus X', 'Cassava Torrado-like virus']",5
103165-001-018,solanum tuberosum,"['Fragaria chiloensis latent virus', 'Red clover bacilliform virus', 'Potato virus A']",3
103165-001-019,ligularia,['Tobacco vein clearing virus'],1
103165-002-003,solanum tuberosum,['Phomopsis longicolla RNA virus 1'],1
103165-002-004,unknown,['Cucumber mosaic virus'],1
103165-002-005,solanum tuberosum,"['Cucumber mosaic virus', 'Phomopsis longicolla RNA virus 1']",2
103165-002-009,unknown,['Cucumber mosaic virus'],1
103165-003-002,capsicum annuum,['Pepper mild mottle virus'],1
103165-003-008,solanum lycopersicum,['Pepper mild mottle virus'],1
103165-009-001,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-003,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-005,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-007,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-008,unknown,['Olive mild mosaic virus'],1
103165-009-009,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-010,unknown,['Olive mild mosaic virus'],1
103165-009-011,solanum lycopersicum,['Olive mild mosaic virus'],1
103165-009-013,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-015,solanum lycopersicum,['Pepino mosaic virus'],1
103165-009-016,solanum lycopersicum,['Pepino mosaic virus'],1
103165-012-001,lactuca sativa,['Lettuce yellow mottle cytorhabdovirus'],1
103165-012-002,capsicum annuum,['Ranunculus white mottle virus'],1
103165-012-003,solanum lycopersicum,['Human mastadenovirus C'],1
103165-012-004,capsicum annuum,['Gayfeather mild mottle virus'],1
103165-012-005,capsicum annuum,['Lettuce yellow mottle cytorhabdovirus'],1
103165-012-007,pelargonium,"['Tobacco ringspot virus', 'Pelargonium flower break virus']",2
103165-012-008,tulipa,['Cucumber mosaic virus'],1
103165-012-009,tulipa,"['Ranunculus white mottle virus', 'Cucumber mosaic virus']",2
103165-012-010,ajuga,"['Tobacco ringspot virus', 'Human mastadenovirus C', 'Pelargonium flower break virus']",3
103165-012-011,musa,['Ranunculus white mottle virus'],1
103165-012-012,solanum lycopersicum,['Gayfeather mild mottle virus'],1
103165-012-013,cucurbita pepo,['Gayfeather mild mottle virus'],1
103165-013-003,encyclia adenocaule,['Phomopsis longicolla RNA virus 1'],1
103165-013-011,solanum tuberosum,['Prunus necrotic ringspot virus'],1
103165-013-012,solanum tuberosum,"['Cherry virus A', 'Prunus necrotic ringspot virus']",2
103165-013-013,solanum tuberosum,"['Prune dwarf virus', 'Cherry virus A', 'Phomopsis longicolla RNA virus 1', 'Cherry green ring mottle virus']",4
103165-013-014,solanum tuberosum,"['Prune dwarf virus', 'Cherry virus A', 'Cherry green ring mottle virus']",3
103165-014-001,unknown,"['Tobacco ringspot virus', 'Iris severe mosaic virus', 'Mirafiori lettuce big-vein ophiovirus', 'Aeonium ringspot virus', 'Lettuce ring necrosis ophiovirus']",5
103165-014-003,unknown,"['Aeonium ringspot virus', 'Tobacco ringspot virus']",2
103165-014-005,unknown,"['Tobacco ringspot virus', 'Iris severe mosaic virus', 'Mirafiori lettuce big-vein ophiovirus', 'Lettuce ring necrosis ophiovirus']",4
103165-016-002,iris germanica,['Tobacco ringspot virus'],1
103165-016-003,hemerocallis,"['Tobacco ringspot virus', 'Hop latent virus']",2
103165-016-004,humulus lupulus,"['Mulberry badnavirus 1', 'Hop latent virus', 'Phomopsis longicolla RNA virus 1']",3
103165-016-005,humulus lupulus,"['Sugarcane bacilliform virus', 'Mulberry badnavirus 1', 'Hop latent virus', 'Phomopsis longicolla RNA virus 1']",4
103165-016-006,humulus lupulus,['Hop latent virus'],1
103165-016-007,humulus lupulus,"['Soybean leaf-associated ourmiavirus 1', 'Phomopsis longicolla RNA virus 1', 'Hop latent virus']",3
103165-016-008,humulus lupulus,"['Soybean leaf-associated ourmiavirus 1', 'Phomopsis longicolla RNA virus 1', 'Hop latent virus']",3
103165-016-009,humulus lupulus,"['Sugarcane bacilliform virus', 'Mulberry badnavirus 1', 'Hop latent virus', 'Phomopsis longicolla RNA virus 1']",4
103165-016-010,humulus lupulus,"['Mulberry badnavirus 1', 'Hop latent virus']",2
103165-016-011,humulus lupulus,"['Hop latent virus', 'Phomopsis longicolla RNA virus 1']",2
103165-019-015,iris germanica,"['Tobacco ringspot virus', 'Iris severe mosaic virus']",2
103165-019-017,hemerocallis,['Tobacco ringspot virus'],1
103165-019-019,iris germanica,"['Tobacco ringspot virus', 'Iris severe mosaic virus']",2
103165-019-021,cucumis sativus,['Cucumber green mottle mosaic virus'],1
103165-019-022,hemerocallis,['Tobacco ringspot virus'],1
103165-019-023,unknown,"['Cucumber green mottle mosaic virus', 'Beet pseudoyellows virus']",2
103165-019-024,cucumis sativus,"['Cucumber green mottle mosaic virus', 'Beet pseudoyellows virus']",2
103165-019-026,hemerocallis,['Tobacco ringspot virus'],1
103165-020-001,solanum tuberosum,"['Cassava satellite virus', 'Plum pox virus', 'Beihai horseshoe crab virus 1']",3
103165-020-002,nepovirus,"['Beihai horseshoe crab virus 1', 'Plum pox virus']",2
103165-020-003,unknown,"['Cherry virus A', 'Plum pox virus', 'Beihai horseshoe crab virus 1']",3
103165-020-004,nepovirus,['Plum pox virus'],1
103165-020-006,nepovirus,"['Cassava satellite virus', 'Beihai horseshoe crab virus 1', 'Plum pox virus']",3
103165-020-007,unknown,['Sacbrood virus'],1
103165-020-009,unknown,['Sacbrood virus'],1
103165-020-010,unknown,['Plum pox virus'],1
103165-020-011,unknown,['Plum pox virus'],1
103165-020-012,unknown,['Plum pox virus'],1
103165-020-014,unknown,['Plum pox virus'],1
103165-020-015,unknown,['Plum pox virus'],1
103165-020-016,unknown,['Plum pox virus'],1
103165-020-020,unknown,"['Hubei picorna-like virus 68', 'Beihai horseshoe crab virus 1', 'Plum pox virus', 'Hubei picorna-like virus 67', 'Hubei odonate virus 12']",5
103165-020-021,unknown,"['Bundaberg bee virus 2', 'Nephila clavipes virus 2', 'Hubei picorna-like virus 68', 'Beihai horseshoe crab virus 1', 'Plum pox virus', 'Hubei picorna-like virus 67', 'Blackberry virus Z']",7
103165-020-022,unknown,"['Nephila clavipes virus 2', 'Beihai horseshoe crab virus 1', 'Plum pox virus', 'Hubei picorna-like virus 67']",4
103165-020-023,unknown,"['Bundaberg bee virus 2', 'Nephila clavipes virus 2', 'Hubei picorna-like virus 68', 'Beihai horseshoe crab virus 1', 'Hubei picorna-like virus 67', 'Blackberry virus Z']",6
103165-020-025,unknown,"['Hubei odonate virus 12', 'Beihai horseshoe crab virus 1', 'Hubei picorna-like virus 68', 'Hubei picorna-like virus 67']",4
103165-020-026,unknown,"['Bundaberg bee virus 2', 'Blackberry virus Z']",2
103165-021-001,unknown,"['Clover yellow vein virus', 'Asparagus virus 1', 'Lettuce necrotic yellows cytorhabdovirus', 'Pea enation mosaic virus 2', 'Pepino mosaic virus', 'Cucumber green mottle mosaic virus', 'Carrot mottle mimic virus', 'Pea enation mosaic virus satellite RNA', 'Cherry leaf roll virus', 'African cassava mosaic virus']",10
103165-021-002,unknown,"['Cucumber mosaic virus', 'Carrot necrotic dieback virus', 'Physostegia chlorotic mottle virus', 'Tomato mosaic virus']",4
103165-021-003,unknown,"['Clover yellow vein virus', 'Asparagus virus 1', 'Lettuce necrotic yellows cytorhabdovirus', 'Pea enation mosaic virus 2', 'Pepino mosaic virus', 'Cucumber green mottle mosaic virus', 'Pea enation mosaic virus satellite RNA', 'Carrot mottle mimic virus', 'Cherry leaf roll virus', 'African cassava mosaic virus']",10
103165-021-004,unknown,"['Cucumber mosaic virus', 'Carrot necrotic dieback virus', 'Physostegia chlorotic mottle virus', 'Tomato mosaic virus']",4
103165-022-005,helleborus,"['Soybean Putnam virus', 'Dahlia common mosaic virus']",2
103165-022-006,helleborus,"['Soybean Putnam virus', 'Dahlia common mosaic virus']",2
103165-020-018,solanum tuberosum,"['Cherry virus A', 'Plum pox virus']",2
103165-020-019,solanum tuberosum,"['Cherry virus A', 'Plum pox virus']",2
103165-027-001,solanum tuberosum,['Potato black ringspot virus'],1
103165-027-002,euphorbia pulcherrima,['Potato black ringspot virus'],1
103165-027-003,solanum tuberosum,['Potato black ringspot virus'],1
103165-027-004,nicotiana occidentalis,['Potato black ringspot virus'],1
103165-027-005,solanum tuberosum,['Potato leafroll virus'],1
103165-027-009,solanum tuberosum,['Potato leafroll virus'],1
103165-029-002,phalaenopsis,['Apple rubbery wood virus 2'],1
103165-029-003,unknown,"['Capsicum chlorosis virus', 'Potato aucuba mosaic virus']",2
103165-029-004,aeschynanthus,['Changjiang tombus-like virus 20'],1
103165-029-006,phalaenopsis,"['Apple rubbery wood virus 2', 'Cauliflower mosaic virus']",2
103165-029-009,hoya,['Changjiang tombus-like virus 20'],1
103165-029-010,unknown,"['Capsicum chlorosis virus', 'Potato aucuba mosaic virus']",2
103165-029-012,ajuga,['Cauliflower mosaic virus'],1
103165-033-002,beaucarnea,['Lolium latent virus'],1
103165-033-003,unknown,['Pepino mosaic virus'],1
103165-033-004,solanum lycopersicum,['Pepino mosaic virus'],1
103165-033-009,lolium perenne,['Lolium latent virus'],1
103165-033-010,mentha,"['Schlumbergera virus X', 'Pitaya virus X', 'Rattail cactus necrosis-associated virus', 'Cactus mild mottle virus', 'Cactus virus X']",5
103165-033-011,cereus,"['Schlumbergera virus X', 'Pitaya virus X', 'Rattail cactus necrosis-associated virus', 'Cactus mild mottle virus', 'Cactus virus X']",5
103165-035-002,unknown,"['Peanut chlorotic streak virus', 'Tomato spotted wilt tospovirus']",2
103165-035-004,ajuga reptans,"['Tobacco ringspot virus', 'Bellflower vein chlorosis virus', 'Cauliflower mosaic virus', 'Alfalfa mosaic virus', 'Potato leafroll virus', 'Changjiang levi-like virus 3']",6
103165-035-005,ajuga reptans,"['Tobacco ringspot virus', 'Bellflower vein chlorosis virus', 'Cauliflower mosaic virus', 'Alfalfa mosaic virus', 'Changjiang levi-like virus 3']",5
103165-035-006,tulipa,['Capsicum chlorosis virus'],1
103165-035-007,unknown,['Potato leafroll virus'],1
103165-035-008,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
103165-035-009,cucumis sativus,['Cucurbit aphid-borne yellows virus'],1
103165-035-010,unknown,"['Capsicum chlorosis virus', 'Peanut chlorotic streak virus', 'Tomato spotted wilt tospovirus']",3
103165-038-001,unknown,['Tobacco ringspot virus'],1
103165-038-004,unknown,"['Passiflora latent virus', 'Passion fruit yellow mosaic virus']",2
103165-038-005,unknown,"['Passiflora latent virus', 'Passion fruit yellow mosaic virus']",2
103165-038-007,unknown,['Bell pepper alphaendornavirus'],1
103165-038-009,unknown,['Bell pepper alphaendornavirus'],1
103165-038-012,unknown,"['Tobacco ringspot virus', 'Bellflower vein chlorosis virus']",2
103165-038-013,unknown,"['Bellflower vein chlorosis virus', 'Tobacco ringspot virus']",2
103165-039-002,lilium maldano rose,['Tobacco rattle virus'],1
103165-039-003,lilium,['Tobacco rattle virus'],1
103165-040-001,ajuga reptans burgundy,['Tobacco ringspot virus'],1
103165-040-002,ajuga reptans atropurpurea,['Tobacco ringspot virus'],1
103165-040-004,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
103165-040-005,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
103165-044-013,cucumis sativus,['Cucumber green mottle mosaic virus'],1
103165-044-014,cucumis sativus,['Cucumber green mottle mosaic virus'],1
103165-044-016,ajuga reptans,"['Tobacco ringspot virus', 'Blueberry red ringspot virus', 'Bellflower vein chlorosis virus', 'Red clover associated virus 1', 'Alfalfa mosaic virus', 'Arabis mosaic virus']",6
103165-044-018,ajuga reptans,"['Tobacco ringspot virus', 'Blueberry red ringspot virus', 'Bellflower vein chlorosis virus', 'Pyricularia oryzae ourmia-like virus 2', 'Red clover associated virus 1', 'Alfalfa mosaic virus', 'Arabis mosaic virus']",7
103165-044-019,ajuga reptans,"['Tobacco ringspot virus', 'Bellflower vein chlorosis virus', 'Pyricularia oryzae ourmia-like virus 2', 'Alfalfa mosaic virus', 'Arabis mosaic virus']",5
103943-003-001,yucca elephantipes,['Cucumber mosaic virus'],1
103943-003-009,paeonia lactiflora,"['Cucumber mosaic virus', 'Gentian Kobu-sho-associated virus']",2
103943-003-010,paeonia lactiflora,['Gentian Kobu-sho-associated virus'],1
103943-004-001,solanum lycopersicum,"['Tomato mosaic virus', 'Cucumber green mottle mosaic virus', 'Potato virus S', 'Broad bean wilt virus 2', 'Tomato brown rugose fruit virus']",5
103943-004-002,solanum lycopersicum,"['Potato leafroll virus', 'Tomato brown rugose fruit virus']",2
103943-004-003,solanum lycopersicum,"['Tomato mosaic virus', 'Cucumber green mottle mosaic virus', 'Potato leafroll virus', 'Broad bean wilt virus 2', 'Tomato brown rugose fruit virus']",5
103943-004-004,solanum lycopersicum,"['Potato leafroll virus', 'Tomato mosaic virus', 'Potato virus S', 'Tomato brown rugose fruit virus']",4
103943-004-005,thunbergia,['Broad bean wilt virus 1'],1
103943-004-006,beaucarnea,['Broad bean wilt virus 1'],1
103943-005-001,unknown,['Pepino mosaic virus'],1
103943-005-002,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
103943-005-003,solanum lycopersicum,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
103943-005-004,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
103943-005-005,unknown,"['Pepino mosaic virus', 'Tomato brown rugose fruit virus']",2
103943-006-004,unknown,"['Cucumber mosaic virus', 'Southern tomato virus']",2
103943-006-005,unknown,"['Cucumber mosaic virus', 'Southern tomato virus']",2
103943-006-006,unknown,"['Solanum chacoense mitovirus 1', 'Tomato chlorosis virus', 'Bacopa chlorosis virus']",3
103943-006-007,unknown,"['Solanum chacoense mitovirus 1', 'Tomato chlorosis virus', 'Bacopa chlorosis virus']",3
103943-006-008,unknown,"['Solanum chacoense mitovirus 1', 'Tomato chlorosis virus', 'Bacopa chlorosis virus']",3
103943-009-004,capsicum,"['Watermelon mosaic virus', 'Pepper mottle virus', 'Tomato brown rugose fruit virus']",3
103943-009-005,cucurbita pepo,"['Watermelon mosaic virus', 'Tomato brown rugose fruit virus']",2
103943-009-006,unknown,"['Pepper mottle virus', 'Watermelon mosaic virus', 'Tomato brown rugose fruit virus']",3
103943-015-001,solanum lycopersicum,['Tomato mottle mosaic virus'],1
103943-015-002,unknown,"['Pepino mosaic virus', 'Tomato mottle mosaic virus', 'Cymbidium mosaic virus']",3
103943-015-003,unknown,['Cymbidium mosaic virus'],1
103943-015-004,unknown,"['Cucumber mosaic virus', 'Cassava vein mosaic virus', 'Tomato spotted wilt tospovirus', 'Pepino mosaic virus', 'Tomato mottle mosaic virus', 'Cymbidium mosaic virus']",6
103943-015-005,unknown,"['Cucumber mosaic virus', 'Maize associated partiti-like virus', 'Tomato spotted wilt tospovirus']",3
103943-015-006,unknown,"['Cucumber mosaic virus', 'Pepino mosaic virus']",2
103943-015-007,unknown,"['Maize associated partiti-like virus', 'Pepino mosaic virus', 'Tomato mottle mosaic virus', 'Tomato spotted wilt tospovirus']",4
103943-015-008,unknown,"['Cassava vein mosaic virus', 'Tomato spotted wilt tospovirus']",2
103943-019-001,unknown,['Capsicum chlorosis orthotospovirus'],1
103943-019-002,unknown,['Capsicum chlorosis orthotospovirus'],1
103943-019-004,unknown,['Pepino mosaic virus'],1
103943-019-005,unknown,['Maize associated partiti-like virus'],1
103943-019-007,mentha,"['Maize associated partiti-like virus', 'Pepino mosaic virus']",2
103943-020-001,tobrfv,"['Tomato spotted wilt tospovirus', 'Tomato brown rugose fruit virus']",2
103943-020-002,solanum lycopersicum,"['Tomato spotted wilt tospovirus', 'Tomato brown rugose fruit virus']",2
103943-020-003,tobrfv,"['Cassava vein mosaic virus', 'Petunia vein clearing virus', 'Pepper cryptic virus 2', 'Tomato spotted wilt tospovirus', 'Raspberry leaf blotch emaravirus', 'Tomato brown rugose fruit virus']",6
103943-020-004,unknown,"['Cassava vein mosaic virus', 'Petunia vein clearing virus', 'Raspberry leaf blotch emaravirus', 'Pepper cryptic virus 2']",4
103943-029-001,unknown,['Tobacco mosaic virus'],1
103943-029-002,eremurus himalaicus,"['Tobacco mosaic virus', 'Tomato spotted wilt tospovirus']",2
103943-029-003,unknown,['Tomato spotted wilt tospovirus'],1
103943-029-004,unknown,"['Tomato spotted wilt tospovirus', 'Tobacco mosaic virus', 'Petunia vein clearing virus']",3
103943-029-005,petunia,['Petunia vein clearing virus'],1
103943-029-006,unknown,['Tomato spotted wilt tospovirus'],1
103943-038-002,unknown,"['Pepper mild mottle virus', 'Tomato mosaic virus']",2
103943-038-003,nicotiana occidentalis,['Tomato mosaic virus'],1
103943-038-004,capsicum,['Pepper mild mottle virus'],1
103943-038-005,capsicum,['Tomato mosaic virus'],1
103943-038-006,capsicum annuum,"['Pepper mild mottle virus', 'Tomato mosaic virus']",2
103943-041-001,unknown,"['Riboviria sp.', 'Plasmopara viticola associated ourmia-like virus 3', 'Plasmopara viticola associated ourmia-like virus 90', 'Plasmopara viticola associated ourmia-like virus 87']",4
103943-041-003,unknown,['Potato virus Y'],1
103943-041-006,unknown,['Pepino mosaic virus'],1
103943-041-007,unknown,"['Pepino mosaic virus', 'Potato virus Y']",2
103943-041-008,unknown,"['Riboviria sp.', 'Plasmopara viticola associated ourmia-like virus 87']",2
103943-041-009,unknown,"['Plasmopara viticola associated ourmia-like virus 3', 'Plasmopara viticola associated ourmia-like virus 90']",2
103943-044-001,unknown,"['Cassava vein mosaic virus', 'Cucumber mosaic virus', 'Bell pepper alphaendornavirus']",3
103943-044-002,unknown,"['Cucumber mosaic virus', 'Picornavirales sp.', 'Riboviria sp.', 'Pepper mild mottle virus', 'Leviviridae sp.', 'Dahlia mosaic virus']",6
103943-044-003,unknown,"['Cucumber mosaic virus', 'Rose yellow vein virus', 'Pepper mild mottle virus', 'Human blood-associated dicistrovirus', 'Figwort mosaic virus', 'Strawberry latent ringspot virus']",6
103943-044-004,unknown,"['Cucumber mosaic virus', 'Rose yellow vein virus', 'Pepper mild mottle virus', 'Strawberry latent ringspot virus', 'Bell pepper alphaendornavirus']",5
103943-044-005,unknown,"['Riboviria sp.', 'Rose yellow vein virus', 'Ralstonia virus RSL2', 'Figwort mosaic virus', 'Leviviridae sp.', 'Dahlia mosaic virus']",6
103943-044-006,unknown,"['Picornavirales sp.', 'Rose yellow vein virus', 'Cucumber mosaic virus', 'Riboviria sp.', 'Ralstonia virus RSL2', 'Tomato spotted wilt tospovirus', 'Figwort mosaic virus', 'Leviviridae sp.', 'Dahlia mosaic virus']",9
103943-044-007,unknown,"['Cucumber mosaic virus', 'Pepper mild mottle virus']",2
103943-044-008,unknown,"['Cassava vein mosaic virus', 'Pepper mild mottle virus', 'Human blood-associated dicistrovirus', 'Tomato spotted wilt tospovirus', 'Bell pepper alphaendornavirus']",5
103943-044-009,unknown,['Potato virus Y'],1
103943-044-010,unknown,"['Cucumber mosaic virus', 'Pepper mild mottle virus', 'Potato virus Y']",3
103943-044-011,unknown,"['Pepper mild mottle virus', 'Bell pepper alphaendornavirus']",2
103943-050-002,malus,['Petunia vein clearing virus'],1
103943-050-003,unknown,['Pepino mosaic virus'],1
103943-050-006,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
103943-050-007,solanum lycopersicum,['Bacopa chlorosis virus'],1
103943-050-008,capsicum annuum,"['Petunia vein clearing virus', 'Tomato brown rugose fruit virus']",2
103943-050-009,solanum lycopersicum,['Tomato brown rugose fruit virus'],1
103943-050-010,solanum lycopersicum,"['Bacopa chlorosis virus', 'Tomato brown rugose fruit virus']",2
103943-050-011,solanum lycopersicum,"['Alternanthera mosaic virus', 'Bacopa chlorosis virus']",2
