Name	Taxon	Rank	Contig
Rosadnavirus	1748295	genus	['104326-096-004_(trimmed_pairs)_contig_3373_(31..5170)_consensus_chunk9255', '104326-096-004_(trimmed_pairs)_contig_18738_(1..1511)_consensus_chunk44205', '104326-096-004_(trimmed_pairs)_contig_22234_(185..531)_consensus_chunk50962']
Rose yellow vein virus	1213588	species	['104326-096-004_(trimmed_pairs)_contig_3373_(31..5170)_consensus_chunk9255', '104326-096-004_(trimmed_pairs)_contig_18738_(1..1511)_consensus_chunk44205', '104326-096-004_(trimmed_pairs)_contig_22234_(185..531)_consensus_chunk50962']
Orthornavirae	2732396	kingdom	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Negarnaviricota	2497569	phylum	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Polyploviricotina	2497571	subphylum	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Ellioviricetes	2497576	class	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Bunyavirales	1980410	order	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Fimoviridae	1980412	family	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Emaravirus	675845	genus	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Lilac chlorotic ringspot-associated emaravirus	2845511	species	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
Lilac chlorotic ringspot-associated virus	2719116	no rank	['104326-096-004_(trimmed_pairs)_contig_140_(130..7154)_consensus_chunk403', '104326-096-004_(trimmed_pairs)_contig_7_(1..668)_consensus_chunk46', '104326-096-004_(trimmed_pairs)_contig_18_(1..1513)_consensus_chunk62', '104326-096-004_(trimmed_pairs)_contig_394_(1..1272)_consensus_chunk1103', '104326-096-004_(trimmed_pairs)_contig_313_(1..589)_consensus_chunk848', '104326-096-004_(trimmed_pairs)_contig_88_(1..1214)_consensus_chunk259', '104326-096-004_(trimmed_pairs)_sampled_contig_6_(53..7002)_consensus_chunk5', '104326-096-004_(trimmed_pairs)_sampled_contig_37_(1..564)_consensus_chunk108', '104326-096-004_(trimmed_pairs)_sampled_contig_22_(6..1662)_consensus_chunk89', '104326-096-004_(trimmed_pairs)_sampled_contig_76_(86..677)_consensus_chunk256', '104326-096-004_(trimmed_pairs)_sampled_contig_36_(4..1150)_consensus_chunk107', '104326-096-004_(trimmed_pairs)_sampled_contig_1_(16..1727)_consensus_chunk1']
